age,sex,education,income_respondent,children_in_household,marital_status,feelings_life,has_partner
46.6,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,"Single, never married",5,0
79.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,10,0
30.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Two children,Married,9,1
53.5,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",7,0
71.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,9,1
79.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,8,1
78,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,Married,8,1
72.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,10,1
29.9,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Married,7,1
69.2,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
75.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,8,0
29.2,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,7,1
60.7,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,10,1
69.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
31.2,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Two children,Living common-law,8,1
51.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Two children,Married,9,1
59.8,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Married,10,1
64.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Married,10,1
33.6,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",Two children,Married,8,1
74.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,7,1
79.4,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,10,1
68.3,Male,Trade certificate or diploma,"$25,000 to $49,999",No child,Separated,7,0
63.1,Female,Trade certificate or diploma,"$50,000 to $74,999",No child,Divorced,2,0
72.3,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,10,1
45.9,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,10,1
24.6,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,"Single, never married",8,0
68.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,7,1
42.5,Male,Trade certificate or diploma,"$100,000 to $ 124,999",No child,Married,8,1
31.3,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",Two children,"Single, never married",7,0
40.9,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,8,1
35.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",Two children,Married,8,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,7,0
18.5,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",7,0
50.9,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,7,1
70.3,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,10,0
80,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Widowed,6,0
38.3,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,7,1
45.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,Married,7,1
45.9,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",One child,Separated,2,0
39.4,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",Two children,Married,9,1
31.8,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",One child,Married,7,1
26.4,Female,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",No child,Living common-law,9,1
40.3,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Living common-law,5,1
50.8,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Widowed,7,0
23.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",Two children,Married,8,1
56.3,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Divorced,8,0
34.7,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",One child,Married,9,1
44.3,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,"Single, never married",5,0
68.6,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",No child,Divorced,9,0
45.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,9,1
75.8,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,10,1
65.7,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",No child,Divorced,8,0
65.1,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",No child,Living common-law,7,1
35.9,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",Two children,Married,7,1
47.5,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Divorced,7,0
41.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Two children,Married,9,1
38.2,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",Two children,Married,10,1
23.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
70.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",0,0
64.4,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,6,0
22.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",9,0
75.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",No child,Married,7,1
56.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,10,1
68.3,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Widowed,8,0
33,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",Two children,Married,7,1
33.3,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Divorced,8,0
47.8,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
72.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Living common-law,8,1
43.2,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",One child,Married,8,1
54.6,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Divorced,7,0
76.3,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,10,1
61.9,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,"Single, never married",8,0
55.8,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,6,1
54.4,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",5,0
63.9,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,8,0
54.1,Male,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",No child,"Single, never married",9,0
52.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",Three or more children,Married,8,1
40.9,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",7,0
56.2,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,10,1
61.8,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",No child,"Single, never married",7,0
80,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,8,0
62.3,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",No child,Married,8,1
68.3,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",No child,Married,7,1
52.6,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,8,1
43.2,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",2,0
54.2,Female,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",No child,Married,10,1
29,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,9,1
66.1,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",No child,Married,10,1
59.4,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Divorced,8,0
44.5,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",One child,Married,10,1
21.2,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",10,0
35.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Two children,Living common-law,8,1
60,Male,University certificate or diploma below the bachelor's level,"$125,000 and more",No child,Married,10,1
46.1,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,Married,5,1
80,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,9,0
36.7,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Three or more children,Married,10,1
64.5,Male,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",No child,Widowed,7,0
53.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",6,0
65.3,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,4,1
16,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
80,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,10,1
49.4,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,7,1
73.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,8,0
57.9,Male,Trade certificate or diploma,"$75,000 to $99,999",No child,Living common-law,9,1
60.3,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,Married,10,1
40.2,Male,Trade certificate or diploma,"$100,000 to $ 124,999",One child,"Single, never married",10,0
78.9,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Divorced,10,0
55.6,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,9,1
52.1,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",Three or more children,Married,10,1
41.6,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Three or more children,Married,10,1
42.9,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Divorced,8,0
26.7,Male,Trade certificate or diploma,"$25,000 to $49,999",One child,Married,9,1
37,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Separated,1,0
